University,City,Undergrad enrollment
McEwan University,Edmonton,12693
University of Alberta,Edmonton,29814
University of Calgary,Calgary,26182
University of Lethbridge,Lethbridge,7649
Simon Fraser,Burnaby,12919
Thompson Rivers University,Kamloops,8317
University of British Columbia,Vancouver,38417
University of Victoria,Victoria,14631
University of Winnipeg,Winnipeg,7542
University of Manitoba,Winnipeg,22456
Dalhousie University,Halifax,13615
Saint Mary's University,Halifax,5474
McMaster University,Hamilton,28900
Queen's University,Kingston,21400
University of Ottawa,Ottawa,31700
University of Toronto,Toronto,65600
University of Waterloo,Waterloo,33100
York University,Toronto,42900
Concordia University,Montreal,21278
McGill University,Montreal,23907
Universite de Montreal,Montreal,25689
Universite du Sherbrooke,Sherbrooke,11973
Universite Laval,Laval,22155
University of Regina,Regina,9822
University of Saskatchewan,Saskatoon,16805
,,
,,
,,
